nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116209,756102,América
Estados Unidos,331893745,9833517,América
Canadá,38005238,9984670,América
España,47351567,505990,Europa
Francia,67422000,551695,Europa
Alemania,83149300,357022,Europa
Reino Unido,68207116,243610,Europa
Japón,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1393409038,3287263,Asia
Australia,25687041,7692024,Oceanía
Sudáfrica,59308690,1219090,África
Egipto,109262178,1002450,África